,Warmth Features,GPT2ForSequenceClassification SHAP Values
199,v,-0.02737343857685725
201, small,-0.02948476090317681
203,ant,-0.03745222091674805
211, experiments,-0.0484990868717432
214, sourced,-0.05350423604249954
215,h,-0.05487285589887982
216, parts,-0.056203313990576695
219,oon,-0.06353530074868884
222,l,-0.06789250671863556
224, gem,-0.06832998991012573
227, Content,-0.07164609067513084
229, without,-0.074089914560318
230, R,-0.07759941404774076
232, responsible,-0.07916434194582204
234,e,-0.08728829026222229
237, aim,-0.10115884989500046
238,ood,-0.10823209583759308
240, L,-0.11531387056623187
241, low,-0.1160787827684544
242,pen,-0.12297719717025757
244,ise,-0.13075410586316139
246, ver,-0.1317763775587082
247,rou,-0.13757017130653063
249, results,-0.13890090379863979
251,ens,-0.15660493075847626
253,A,-0.15790146305447533
254, knowledge,-0.16006087884306908
256,wen,-0.16575575123230615
270, early,-0.20770561161043588
272, portfolio,-0.21444666101818993
274, offices,-0.23093727231025696
284, overall,-0.2609193960670382
286, get,-0.2735099249985069
287, B,-0.2822587341070175
290, start,-0.29198199848178774
291, towards,-0.2974407789297402
293,ano,-0.30445681512355804
295, effectiveness,-0.3145952820777893
296, content,-0.3152940571308136
297, marketing,-0.3231493801358738
299, air,-0.3301244152826257
303, proposals,-0.34790122939739376
305, App,-0.34913276560837403
306, A,-0.35117723047733307
308, Amsterdam,-0.3578346371650696
311,ien,-0.35917554795742035
312, state,-0.35952184931375086
315, H,-0.36235110461711884
316, Kuala,-0.37498798221349716
317, phase,-0.38113772372404736
319,fer,-0.38861849904060364
321, independently,-0.3967934655956924
329,ARY,-0.4260786771774292
330, based,-0.4344301833046807
332, N,-0.4400375659267108
335, k,-0.4577881544828415
337,j,-0.47853967547416687
338,Ready,-0.48187127709388733
339, operate,-0.48573208978632465
341, expansion,-0.5042861104011536
342, Warehouse,-0.5044493824243546
343,app,-0.5097889403502146
344, courses,-0.5157795697450638
345, set,-0.5171026885509491
346, international,-0.5213625001100203
348,M,-0.5457106132119421
349, fifth,-0.5519455671310425
353, documents,-0.5748599171638489
356, digital,-0.6003254155657487
357, currently,-0.601216730972131
358, goals,-0.6035426494199783
359,ijk,-0.605064312616984
363, needs,-0.6200221180915833
364,OCK,-0.6230300220195204
365, D,-0.6237125466577709
366, skill,-0.6260855197906494
368, science,-0.655206024646759
369, might,-0.6574743390083313
372, gives,-0.6611504852771759
374, power,-0.6780241327360272
376,Own,-0.7025472294189967
378,ing,-0.7128518985118717
379, English,-0.7184311151504517
380, sizes,-0.7242081160657108
382, masters,-0.7418312430381775
387, Trade,-0.7831598948687315
388, financial,-0.7848005294799805
389, reporting,-0.7859898582100868
394,ating,-0.8194369971752167
395, authority,-0.8204609155654907
396,pes,-0.8359975516796112
397, executing,-0.8363661331435045
398, K,-0.8424677699804306
401,You,-0.8530270318874639
404,Are,-0.8981944918632507
405,otech,-0.9097761002679666
412, level,-0.9904589056968689
416,D,-1.0363859890494496
417,Pre,-1.0398762226104736
418,mit,-1.0585346519947052
419,Under,-1.0633032508194447
421, patents,-1.068123996257782
423, enterprises,-1.073918360285461
424,W,-1.0804570764303207
425, SUM,-1.0808316469192505
428, drive,-1.101418589358218
429, publication,-1.1017821431159973
431, ability,-1.1180623173713684
433,luent,-1.1384656429290771
435,Depending,-1.146730899810791
438,iti,-1.2083095610141754
439,als,-1.2303521484136581
440,F,-1.2439470291137695
445, technical,-1.2806365638971329
446, operational,-1.4120493531227112
447,Trans,-1.4288201034069061
452, direction,-1.501583520323038
454, analyst,-1.6237654856668087
455, precise,-1.6345919966697693
456, paperwork,-1.7730725854635239
458,Analy,-1.9346086978912354
459, Dutch,-1.935513973236084
460, program,-1.941544771194458
461,ARE,-2.0865453481674194
462,The,-2.2210845947265625
464, Sales,-2.3861197140067816
465, Netflix,-2.470329863484949
466,Who,-2.5418028831481934
467,J,-2.5882408618927
470, would,-2.888358937110752
471, Digital,-2.938766742590815
476,Apply,-3.8705527782440186
